Crop,Variety,State,Season,Year,Quantity,Production,Unit,Cost,Recommended_Zone
Jute,Organic,Uttar Pradesh,Kharif,2013,27.14,22.91,Tons,54047.64,Uttar Pradesh
Jute,High Yield,Karnataka,Rabi,2002,23.97,22.97,Tons,57943.71,Karnataka
Oilseeds,Hybrid,Gujarat,Zaid,2011,10.1,9.85,Tons,24011.69,Gujarat
Oilseeds,Hybrid,Uttar Pradesh,Rabi,2010,17.56,18.72,Tons,31149.43,Uttar Pradesh
Groundnut,Organic,Punjab,Zaid,2006,15.43,14.57,Tons,37832.17,Punjab
Jute,Organic,Gujarat,Rabi,2006,20.59,18.28,Tons,34802.59,Gujarat
Wheat,High Yield,Uttar Pradesh,Zaid,2008,35.29,41.55,Tons,71568.49,Uttar Pradesh
Groundnut,Standard,Madhya Pradesh,Zaid,2013,12.19,11.77,Tons,26416.98,Madhya Pradesh
Wheat,High Yield,Madhya Pradesh,Kharif,2001,35.41,42.19,Tons,85919.28,Madhya Pradesh
Maize,Standard,Punjab,Rabi,2007,30.66,27.72,Tons,56187.12,Punjab
Maize,Organic,Tamil Nadu,Rabi,2014,26.08,24.07,Tons,42560.56,Tamil Nadu
Soybean,Hybrid,Rajasthan,Rabi,2007,10.15,9.69,Tons,20123.08,Rajasthan
Pulses,High Yield,Haryana,Rabi,2011,10.53,12.25,Tons,21805.26,Haryana
Rice,High Yield,Tamil Nadu,Rabi,2007,43.28,38.59,Tons,107905.88,Tamil Nadu
Oilseeds,Organic,Uttar Pradesh,Rabi,2011,15.81,16.32,Tons,31195.81,Uttar Pradesh
Jute,Organic,Karnataka,Kharif,2001,18.14,21.19,Tons,44841.28,Karnataka
Cotton,Standard,Karnataka,Kharif,2012,9.71,10.23,Tons,17023.12,Karnataka
Soybean,High Yield,Tamil Nadu,Rabi,2002,13.05,11.74,Tons,25478.23,Tamil Nadu
Wheat,High Yield,Haryana,Zaid,2007,37.54,34.94,Tons,67289.65,Haryana
Wheat,Organic,Haryana,Kharif,2002,47.63,40.43,Tons,83878.61,Haryana
Cotton,Standard,Punjab,Zaid,2002,11.66,9.51,Tons,26053.76,Punjab
Wheat,High Yield,Rajasthan,Kharif,2006,26.14,24.85,Tons,45539.12,Rajasthan
Oilseeds,Standard,Andhra Pradesh,Kharif,2004,13.0,12.08,Tons,32014.8,Andhra Pradesh
Sugarcane,Organic,Tamil Nadu,Zaid,2009,56.22,61.79,Tons,137593.29,Tamil Nadu
Groundnut,Hybrid,Andhra Pradesh,Kharif,2012,13.46,11.57,Tons,24938.62,Andhra Pradesh
Rice,Organic,Punjab,Kharif,2008,46.39,42.88,Tons,98490.79,Punjab
Wheat,High Yield,Gujarat,Kharif,2002,43.0,39.79,Tons,92041.23,Gujarat
Wheat,Standard,Uttar Pradesh,Kharif,2006,42.66,42.18,Tons,78034.15,Uttar Pradesh
Rice,Hybrid,Haryana,Kharif,2008,43.89,44.22,Tons,95961.44,Haryana
Jute,Hybrid,Gujarat,Zaid,2010,20.13,19.27,Tons,46853.82,Gujarat
Oilseeds,Hybrid,Tamil Nadu,Rabi,2013,12.65,13.48,Tons,23202.78,Tamil Nadu
Soybean,High Yield,Punjab,Zaid,2008,9.23,8.47,Tons,16103.78,Punjab
Pulses,High Yield,Karnataka,Zaid,2005,6.49,5.54,Tons,15057.3,Karnataka
Cotton,High Yield,Maharashtra,Zaid,2003,8.7,7.86,Tons,14147.94,Maharashtra
Maize,High Yield,Andhra Pradesh,Rabi,2011,25.22,24.95,Tons,48920.83,Andhra Pradesh
Sugarcane,High Yield,Andhra Pradesh,Kharif,2011,60.13,70.82,Tons,95208.17,Andhra Pradesh
Pulses,Organic,Uttar Pradesh,Kharif,2004,10.75,12.65,Tons,20865.12,Uttar Pradesh
Maize,Organic,Karnataka,Zaid,2007,20.76,23.57,Tons,39028.15,Karnataka
Sugarcane,Standard,Uttar Pradesh,Rabi,2008,83.08,88.61,Tons,153221.69,Uttar Pradesh
Oilseeds,High Yield,Tamil Nadu,Zaid,2011,8.87,8.26,Tons,18226.17,Tamil Nadu
Maize,High Yield,Tamil Nadu,Kharif,2008,25.34,27.76,Tons,58356.35,Tamil Nadu
Groundnut,Standard,Maharashtra,Rabi,2012,14.86,13.85,Tons,34788.26,Maharashtra
Soybean,Hybrid,Punjab,Rabi,2009,16.18,16.67,Tons,34949.47,Punjab
Sugarcane,Hybrid,Karnataka,Zaid,2006,47.79,45.98,Tons,91490.8,Karnataka
Cotton,Hybrid,Gujarat,Zaid,2003,11.68,10.88,Tons,19803.5,Gujarat
Jute,High Yield,Andhra Pradesh,Rabi,2005,21.22,20.53,Tons,45686.48,Andhra Pradesh
Jute,High Yield,Gujarat,Zaid,2006,15.86,15.27,Tons,36047.34,Gujarat
Jute,Hybrid,Madhya Pradesh,Zaid,2006,14.08,11.45,Tons,30331.43,Madhya Pradesh
Wheat,High Yield,Rajasthan,Kharif,2011,30.67,29.65,Tons,52442.5,Rajasthan
Wheat,Hybrid,Andhra Pradesh,Kharif,2004,40.14,36.71,Tons,87073.13,Andhra Pradesh
Maize,Standard,Haryana,Kharif,2001,27.08,28.39,Tons,50071.92,Haryana
Maize,Hybrid,Andhra Pradesh,Rabi,2002,28.25,32.25,Tons,62323.64,Andhra Pradesh
Sugarcane,High Yield,Tamil Nadu,Zaid,2004,49.99,42.27,Tons,92561.19,Tamil Nadu
Maize,Organic,Gujarat,Kharif,2010,31.49,31.45,Tons,65064.45,Gujarat
Soybean,Organic,Rajasthan,Zaid,2011,6.3,7.14,Tons,9668.44,Rajasthan
Pulses,Organic,Haryana,Zaid,2009,9.18,9.15,Tons,22126.97,Haryana
Wheat,Hybrid,Karnataka,Kharif,2001,34.32,36.28,Tons,67415.17,Karnataka
Rice,Standard,Punjab,Zaid,2013,39.93,42.72,Tons,67662.59,Punjab
Wheat,Organic,Gujarat,Kharif,2004,39.66,34.86,Tons,82150.71,Gujarat
Soybean,Organic,Maharashtra,Rabi,2009,10.09,11.46,Tons,22010.21,Maharashtra
Groundnut,High Yield,Punjab,Zaid,2008,13.86,13.46,Tons,32993.59,Punjab
Oilseeds,Hybrid,Gujarat,Kharif,2001,12.07,11.23,Tons,19858.18,Gujarat
Maize,High Yield,Gujarat,Kharif,2005,23.89,22.77,Tons,53695.73,Gujarat
Oilseeds,Organic,Tamil Nadu,Rabi,2014,14.97,13.29,Tons,24555.81,Tamil Nadu
Cotton,Standard,Andhra Pradesh,Kharif,2001,12.32,13.81,Tons,23291.51,Andhra Pradesh
Sugarcane,Standard,Haryana,Kharif,2014,75.45,80.94,Tons,164539.0,Haryana
Oilseeds,Organic,Punjab,Rabi,2009,17.83,18.58,Tons,30547.3,Punjab
Sugarcane,Organic,Gujarat,Rabi,2013,80.59,83.38,Tons,124393.56,Gujarat
Rice,Standard,Gujarat,Zaid,2002,36.12,31.94,Tons,59805.83,Gujarat
Oilseeds,Standard,Rajasthan,Kharif,2002,9.91,9.13,Tons,17596.39,Rajasthan
Jute,Organic,Madhya Pradesh,Kharif,2006,17.05,17.83,Tons,38175.44,Madhya Pradesh
Cotton,Organic,Maharashtra,Kharif,2011,11.35,11.36,Tons,20766.86,Maharashtra
Rice,Hybrid,Punjab,Kharif,2006,59.37,56.04,Tons,127161.13,Punjab
Wheat,Organic,Andhra Pradesh,Kharif,2007,30.89,25.52,Tons,54518.88,Andhra Pradesh
Rice,Hybrid,Maharashtra,Rabi,2014,50.33,55.51,Tons,91071.84,Maharashtra
Maize,High Yield,Andhra Pradesh,Kharif,2001,24.13,21.07,Tons,49407.03,Andhra Pradesh
Maize,Organic,Madhya Pradesh,Zaid,2008,18.89,15.32,Tons,29400.12,Madhya Pradesh
Sugarcane,Hybrid,Punjab,Zaid,2011,75.18,67.97,Tons,158414.31,Punjab
Pulses,Organic,Uttar Pradesh,Zaid,2002,6.75,8.03,Tons,10699.1,Uttar Pradesh
Wheat,Organic,Karnataka,Rabi,2002,41.68,43.32,Tons,80254.12,Karnataka
Sugarcane,Organic,Rajasthan,Rabi,2006,60.16,59.65,Tons,96131.02,Rajasthan
Soybean,Standard,Tamil Nadu,Kharif,2001,11.14,11.19,Tons,18874.85,Tamil Nadu
Sugarcane,Hybrid,Rajasthan,Zaid,2004,52.07,42.27,Tons,125157.03,Rajasthan
Pulses,Hybrid,Karnataka,Kharif,2008,7.46,6.43,Tons,13370.21,Karnataka
Soybean,Standard,Tamil Nadu,Rabi,2012,12.42,14.76,Tons,27012.17,Tamil Nadu
Cotton,Standard,Gujarat,Zaid,2010,9.06,8.38,Tons,19837.23,Gujarat
Pulses,Organic,Haryana,Rabi,2013,12.04,14.33,Tons,21635.42,Haryana
Maize,Organic,Karnataka,Kharif,2009,23.51,26.65,Tons,53962.53,Karnataka
Sugarcane,Standard,Maharashtra,Zaid,2003,60.89,54.33,Tons,140977.51,Maharashtra
Sugarcane,High Yield,Uttar Pradesh,Kharif,2011,96.36,94.95,Tons,159184.96,Uttar Pradesh
Wheat,Hybrid,Tamil Nadu,Zaid,2010,25.17,27.79,Tons,62744.61,Tamil Nadu
Wheat,Organic,Rajasthan,Kharif,2009,33.9,30.86,Tons,67919.15,Rajasthan
Cotton,Standard,Tamil Nadu,Zaid,2011,10.85,8.87,Tons,24154.4,Tamil Nadu
Cotton,Standard,Haryana,Zaid,2008,12.4,12.0,Tons,20461.84,Haryana
Sugarcane,Standard,Madhya Pradesh,Rabi,2014,78.03,75.82,Tons,179084.23,Madhya Pradesh
Wheat,Standard,Andhra Pradesh,Rabi,2014,41.82,36.74,Tons,64825.17,Andhra Pradesh
Cotton,Hybrid,Rajasthan,Kharif,2011,9.1,7.89,Tons,16118.53,Rajasthan
Cotton,Hybrid,Karnataka,Kharif,2010,11.85,12.1,Tons,21698.02,Karnataka
Soybean,Organic,Uttar Pradesh,Zaid,2002,9.94,8.43,Tons,23375.57,Uttar Pradesh
Pulses,Standard,Punjab,Zaid,2002,8.6,7.21,Tons,17702.38,Punjab
Cotton,Standard,Madhya Pradesh,Rabi,2014,12.08,10.52,Tons,29432.09,Madhya Pradesh
Wheat,Standard,Rajasthan,Rabi,2008,37.22,34.38,Tons,88543.8,Rajasthan
Wheat,Organic,Tamil Nadu,Zaid,2012,25.08,28.59,Tons,47476.03,Tamil Nadu
Cotton,Standard,Maharashtra,Kharif,2002,10.94,9.7,Tons,26217.83,Maharashtra
Soybean,Organic,Tamil Nadu,Kharif,2009,11.04,11.36,Tons,22045.39,Tamil Nadu
Oilseeds,High Yield,Punjab,Zaid,2010,13.83,12.73,Tons,22160.45,Punjab
Groundnut,Standard,Rajasthan,Zaid,2013,9.3,9.29,Tons,22001.44,Rajasthan
Cotton,Hybrid,Karnataka,Rabi,2005,13.84,14.51,Tons,27763.52,Karnataka
Sugarcane,High Yield,Karnataka,Rabi,2004,73.1,78.83,Tons,148142.48,Karnataka
Maize,Standard,Andhra Pradesh,Kharif,2012,22.94,24.73,Tons,52459.91,Andhra Pradesh
Groundnut,High Yield,Uttar Pradesh,Kharif,2007,15.37,16.47,Tons,27757.61,Uttar Pradesh
Cotton,Standard,Rajasthan,Rabi,2012,11.38,11.36,Tons,20135.42,Rajasthan
Oilseeds,Standard,Maharashtra,Zaid,2006,9.72,10.7,Tons,16720.81,Maharashtra
Soybean,Hybrid,Punjab,Kharif,2003,11.81,12.02,Tons,25103.21,Punjab
Maize,Standard,Punjab,Rabi,2010,40.02,38.13,Tons,68194.44,Punjab
Soybean,High Yield,Maharashtra,Zaid,2013,9.06,9.12,Tons,14311.42,Maharashtra
Wheat,High Yield,Maharashtra,Kharif,2013,32.42,37.14,Tons,56063.45,Maharashtra
Rice,High Yield,Andhra Pradesh,Rabi,2010,48.13,47.9,Tons,78882.42,Andhra Pradesh
Jute,High Yield,Uttar Pradesh,Kharif,2013,26.89,24.14,Tons,43673.1,Uttar Pradesh
Groundnut,Organic,Punjab,Zaid,2005,17.93,18.26,Tons,42549.51,Punjab
Soybean,Organic,Madhya Pradesh,Zaid,2006,7.91,6.92,Tons,17617.47,Madhya Pradesh
Maize,Standard,Gujarat,Rabi,2005,34.79,38.11,Tons,83015.67,Gujarat
Pulses,Organic,Gujarat,Kharif,2006,8.26,7.02,Tons,14978.43,Gujarat
Rice,Standard,Madhya Pradesh,Zaid,2004,27.17,22.09,Tons,52524.91,Madhya Pradesh
Oilseeds,High Yield,Tamil Nadu,Rabi,2010,11.94,11.1,Tons,19654.07,Tamil Nadu
Sugarcane,Organic,Uttar Pradesh,Kharif,2004,92.62,105.16,Tons,166017.86,Uttar Pradesh
Pulses,Hybrid,Andhra Pradesh,Zaid,2005,6.16,7.0,Tons,13608.56,Andhra Pradesh
Sugarcane,Standard,Tamil Nadu,Zaid,2013,59.65,58.92,Tons,105244.41,Tamil Nadu
Cotton,Hybrid,Punjab,Zaid,2008,13.75,11.41,Tons,31062.68,Punjab
Wheat,Hybrid,Karnataka,Kharif,2005,30.47,25.99,Tons,57148.28,Karnataka
Sugarcane,Hybrid,Madhya Pradesh,Kharif,2013,71.24,80.69,Tons,128326.98,Madhya Pradesh
Cotton,Hybrid,Haryana,Zaid,2007,13.34,15.02,Tons,25389.83,Haryana
Cotton,Organic,Uttar Pradesh,Zaid,2003,11.37,11.75,Tons,25543.11,Uttar Pradesh
Cotton,High Yield,Rajasthan,Kharif,2012,9.47,9.53,Tons,17453.98,Rajasthan
Groundnut,Organic,Tamil Nadu,Zaid,2004,14.05,13.18,Tons,26921.96,Tamil Nadu
Soybean,Standard,Gujarat,Rabi,2010,13.62,13.96,Tons,20603.54,Gujarat
Wheat,High Yield,Gujarat,Rabi,2011,39.8,47.72,Tons,83396.27,Gujarat
Sugarcane,Standard,Gujarat,Kharif,2012,83.83,80.03,Tons,162300.17,Gujarat
Groundnut,Organic,Maharashtra,Rabi,2001,18.58,20.32,Tons,45726.06,Maharashtra
Rice,Standard,Punjab,Zaid,2005,45.89,44.4,Tons,85142.67,Punjab
Soybean,Organic,Maharashtra,Kharif,2010,9.94,11.71,Tons,19296.52,Maharashtra
Wheat,Hybrid,Gujarat,Kharif,2009,40.93,44.42,Tons,85124.07,Gujarat
Wheat,Organic,Tamil Nadu,Rabi,2014,42.77,41.63,Tons,73717.8,Tamil Nadu
Rice,Standard,Madhya Pradesh,Rabi,2014,43.47,50.68,Tons,103943.65,Madhya Pradesh
Jute,Hybrid,Tamil Nadu,Rabi,2002,20.72,18.73,Tons,33906.36,Tamil Nadu
Groundnut,Standard,Gujarat,Zaid,2010,14.66,12.03,Tons,25178.78,Gujarat
Cotton,Organic,Madhya Pradesh,Kharif,2010,9.81,9.14,Tons,15608.06,Madhya Pradesh
Pulses,Hybrid,Maharashtra,Rabi,2001,8.01,7.38,Tons,17035.66,Maharashtra
Maize,High Yield,Andhra Pradesh,Kharif,2004,24.49,21.37,Tons,50754.55,Andhra Pradesh
Sugarcane,Hybrid,Rajasthan,Rabi,2005,64.43,76.36,Tons,116720.66,Rajasthan
Groundnut,Organic,Rajasthan,Rabi,2007,15.53,18.33,Tons,35623.8,Rajasthan
Jute,Standard,Gujarat,Kharif,2006,25.15,24.54,Tons,40250.43,Gujarat
Jute,Hybrid,Haryana,Kharif,2001,23.56,24.2,Tons,55490.75,Haryana
Oilseeds,Hybrid,Karnataka,Rabi,2002,13.38,10.99,Tons,21492.81,Karnataka
Rice,Hybrid,Tamil Nadu,Rabi,2011,50.08,59.23,Tons,101434.99,Tamil Nadu
Sugarcane,Hybrid,Madhya Pradesh,Kharif,2011,57.89,66.06,Tons,105749.59,Madhya Pradesh
Jute,Organic,Andhra Pradesh,Zaid,2003,16.33,17.57,Tons,34499.53,Andhra Pradesh
Maize,High Yield,Madhya Pradesh,Zaid,2002,20.3,22.26,Tons,38823.5,Madhya Pradesh
Groundnut,Organic,Maharashtra,Zaid,2013,11.81,10.81,Tons,20218.53,Maharashtra
Maize,High Yield,Tamil Nadu,Zaid,2006,19.41,22.66,Tons,40331.6,Tamil Nadu
Groundnut,Hybrid,Gujarat,Kharif,2001,17.96,17.15,Tons,33048.74,Gujarat
Pulses,High Yield,Madhya Pradesh,Kharif,2009,7.2,7.49,Tons,15457.75,Madhya Pradesh
Oilseeds,High Yield,Uttar Pradesh,Zaid,2011,12.32,14.47,Tons,27445.54,Uttar Pradesh
Groundnut,Standard,Karnataka,Kharif,2007,14.41,13.83,Tons,35653.9,Karnataka
Rice,Hybrid,Tamil Nadu,Zaid,2014,33.25,36.89,Tons,79613.86,Tamil Nadu
Groundnut,Standard,Andhra Pradesh,Zaid,2003,11.69,13.67,Tons,18471.81,Andhra Pradesh
Pulses,High Yield,Maharashtra,Zaid,2005,6.0,5.64,Tons,11615.84,Maharashtra
Cotton,Hybrid,Gujarat,Rabi,2010,14.87,17.62,Tons,34934.36,Gujarat
Cotton,Organic,Rajasthan,Zaid,2004,7.11,8.29,Tons,13707.4,Rajasthan
Rice,High Yield,Tamil Nadu,Kharif,2011,47.64,54.72,Tons,105118.98,Tamil Nadu
Jute,Organic,Madhya Pradesh,Rabi,2009,21.18,24.18,Tons,34918.36,Madhya Pradesh
Sugarcane,Standard,Punjab,Zaid,2012,67.31,67.67,Tons,117099.44,Punjab
Jute,Hybrid,Maharashtra,Kharif,2012,17.9,18.37,Tons,33098.43,Maharashtra
Cotton,Hybrid,Gujarat,Zaid,2005,11.47,10.66,Tons,22334.47,Gujarat
Groundnut,Standard,Rajasthan,Rabi,2002,13.42,13.42,Tons,24647.7,Rajasthan
Jute,Hybrid,Rajasthan,Zaid,2014,13.91,14.81,Tons,30278.91,Rajasthan
Pulses,Standard,Punjab,Zaid,2001,7.22,7.41,Tons,16732.77,Punjab
Jute,Hybrid,Maharashtra,Rabi,2005,24.35,28.11,Tons,36791.86,Maharashtra
Wheat,Standard,Madhya Pradesh,Rabi,2004,35.79,39.68,Tons,55053.86,Madhya Pradesh
Groundnut,Organic,Uttar Pradesh,Kharif,2009,15.33,12.52,Tons,29178.49,Uttar Pradesh
Cotton,High Yield,Maharashtra,Kharif,2014,11.48,10.21,Tons,28429.07,Maharashtra
Wheat,Organic,Andhra Pradesh,Zaid,2012,29.47,30.43,Tons,55315.75,Andhra Pradesh
Soybean,Organic,Gujarat,Rabi,2009,12.84,14.34,Tons,31596.95,Gujarat
Groundnut,Standard,Tamil Nadu,Kharif,2003,15.64,17.02,Tons,29701.78,Tamil Nadu
Rice,Hybrid,Karnataka,Rabi,2014,40.93,43.64,Tons,77363.54,Karnataka
Jute,Organic,Maharashtra,Kharif,2009,19.03,16.01,Tons,31682.04,Maharashtra
Oilseeds,Standard,Madhya Pradesh,Kharif,2005,11.13,9.27,Tons,23080.26,Madhya Pradesh
Pulses,Organic,Karnataka,Zaid,2006,5.21,4.42,Tons,9124.99,Karnataka
Soybean,Hybrid,Rajasthan,Rabi,2009,8.71,7.38,Tons,18836.13,Rajasthan
Cotton,High Yield,Tamil Nadu,Kharif,2012,13.92,14.41,Tons,34755.52,Tamil Nadu
Groundnut,High Yield,Haryana,Zaid,2008,15.93,17.72,Tons,28012.94,Haryana
Cotton,High Yield,Tamil Nadu,Kharif,2013,13.33,15.93,Tons,27182.43,Tamil Nadu
Oilseeds,Hybrid,Karnataka,Rabi,2010,12.62,14.39,Tons,29231.33,Karnataka
Maize,Hybrid,Andhra Pradesh,Kharif,2010,24.76,25.87,Tons,57050.0,Andhra Pradesh
Sugarcane,Hybrid,Punjab,Rabi,2009,103.61,108.85,Tons,225630.4,Punjab
Pulses,Organic,Madhya Pradesh,Zaid,2004,6.31,5.35,Tons,13833.27,Madhya Pradesh
Rice,Organic,Karnataka,Rabi,2008,40.93,45.15,Tons,82000.45,Karnataka
Pulses,Organic,Karnataka,Kharif,2006,7.37,6.22,Tons,17553.06,Karnataka
Groundnut,Standard,Haryana,Zaid,2012,15.97,17.27,Tons,26598.4,Haryana
Oilseeds,Hybrid,Rajasthan,Zaid,2005,7.47,7.59,Tons,16848.99,Rajasthan
Cotton,Organic,Punjab,Zaid,2005,12.22,14.48,Tons,20486.83,Punjab
Jute,Hybrid,Haryana,Zaid,2007,21.21,19.74,Tons,43251.27,Haryana
Pulses,Organic,Punjab,Zaid,2012,9.42,8.67,Tons,17790.32,Punjab
Sugarcane,High Yield,Maharashtra,Zaid,2003,53.24,43.58,Tons,112326.33,Maharashtra
Groundnut,Organic,Punjab,Zaid,2009,15.92,18.22,Tons,36160.18,Punjab
Wheat,Hybrid,Haryana,Kharif,2004,47.7,43.06,Tons,84566.25,Haryana
Sugarcane,Organic,Andhra Pradesh,Kharif,2007,64.44,71.97,Tons,125554.62,Andhra Pradesh
Groundnut,Organic,Punjab,Zaid,2008,14.52,16.7,Tons,22185.6,Punjab
Cotton,Organic,Punjab,Zaid,2005,11.43,12.05,Tons,24797.95,Punjab
Soybean,Organic,Andhra Pradesh,Zaid,2005,7.26,6.15,Tons,15672.94,Andhra Pradesh
Rice,High Yield,Haryana,Kharif,2005,49.01,57.51,Tons,83061.1,Haryana
Groundnut,Organic,Rajasthan,Kharif,2001,12.13,12.64,Tons,20018.96,Rajasthan
Wheat,Standard,Gujarat,Kharif,2007,36.76,32.68,Tons,64636.35,Gujarat
Soybean,High Yield,Andhra Pradesh,Zaid,2014,7.45,7.02,Tons,13773.17,Andhra Pradesh
Soybean,Standard,Gujarat,Rabi,2009,11.11,12.99,Tons,23821.83,Gujarat
Cotton,Standard,Maharashtra,Rabi,2012,12.69,11.6,Tons,21561.22,Maharashtra
Rice,High Yield,Uttar Pradesh,Rabi,2014,51.3,55.44,Tons,100407.44,Uttar Pradesh
Soybean,Standard,Punjab,Rabi,2002,16.01,18.45,Tons,33489.3,Punjab
Oilseeds,Organic,Haryana,Rabi,2002,15.95,15.38,Tons,35540.05,Haryana
Oilseeds,High Yield,Andhra Pradesh,Kharif,2005,12.62,13.37,Tons,26398.43,Andhra Pradesh
Soybean,Organic,Gujarat,Rabi,2012,11.31,9.69,Tons,24545.32,Gujarat
Jute,Standard,Maharashtra,Rabi,2002,24.71,20.04,Tons,44072.82,Maharashtra
Rice,Hybrid,Haryana,Zaid,2006,34.31,32.12,Tons,59909.57,Haryana
Rice,Organic,Uttar Pradesh,Rabi,2005,50.97,50.35,Tons,78659.6,Uttar Pradesh
Jute,Organic,Tamil Nadu,Rabi,2003,23.12,21.17,Tons,56023.76,Tamil Nadu
Rice,Organic,Madhya Pradesh,Kharif,2013,38.15,39.3,Tons,87320.45,Madhya Pradesh
Wheat,High Yield,Gujarat,Zaid,2013,31.19,33.1,Tons,69011.38,Gujarat
Soybean,Organic,Rajasthan,Zaid,2004,5.9,5.6,Tons,12855.28,Rajasthan
Wheat,High Yield,Madhya Pradesh,Zaid,2009,26.61,25.79,Tons,45038.37,Madhya Pradesh
Oilseeds,Standard,Punjab,Zaid,2010,11.83,11.18,Tons,28044.23,Punjab
Sugarcane,Standard,Maharashtra,Kharif,2004,60.15,66.65,Tons,143817.15,Maharashtra
Maize,High Yield,Tamil Nadu,Rabi,2001,27.77,27.3,Tons,57453.34,Tamil Nadu
Sugarcane,Hybrid,Rajasthan,Zaid,2013,52.81,56.92,Tons,94869.88,Rajasthan
Soybean,Hybrid,Gujarat,Zaid,2006,9.84,10.77,Tons,16696.83,Gujarat
Groundnut,Hybrid,Tamil Nadu,Rabi,2012,15.88,15.7,Tons,23972.24,Tamil Nadu
Maize,Hybrid,Gujarat,Kharif,2006,29.46,24.8,Tons,68617.95,Gujarat
Maize,Organic,Karnataka,Rabi,2006,23.74,27.03,Tons,42270.36,Karnataka
Oilseeds,Organic,Andhra Pradesh,Rabi,2006,12.18,13.88,Tons,25707.38,Andhra Pradesh
Maize,Standard,Gujarat,Zaid,2005,21.05,23.5,Tons,41863.99,Gujarat
Oilseeds,Organic,Tamil Nadu,Rabi,2005,12.69,14.85,Tons,19787.54,Tamil Nadu
Rice,Organic,Tamil Nadu,Rabi,2012,48.4,45.67,Tons,72878.15,Tamil Nadu
Rice,Standard,Madhya Pradesh,Kharif,2007,36.02,42.6,Tons,77410.7,Madhya Pradesh
Pulses,Organic,Punjab,Rabi,2008,11.72,12.81,Tons,18788.36,Punjab
Oilseeds,Organic,Uttar Pradesh,Zaid,2006,10.38,11.38,Tons,22877.12,Uttar Pradesh
Soybean,Organic,Karnataka,Zaid,2008,7.97,7.75,Tons,14345.49,Karnataka
Soybean,Hybrid,Maharashtra,Kharif,2009,9.78,9.34,Tons,21130.27,Maharashtra
Wheat,High Yield,Haryana,Zaid,2007,31.75,27.24,Tons,75773.55,Haryana
Jute,High Yield,Uttar Pradesh,Kharif,2001,21.09,19.23,Tons,43614.09,Uttar Pradesh
Pulses,Standard,Gujarat,Rabi,2007,9.39,7.71,Tons,23403.68,Gujarat
Rice,High Yield,Gujarat,Zaid,2007,38.82,33.71,Tons,60233.69,Gujarat
Wheat,Standard,Tamil Nadu,Rabi,2006,43.41,38.15,Tons,97668.68,Tamil Nadu
Oilseeds,Standard,Madhya Pradesh,Zaid,2002,8.43,7.82,Tons,15259.31,Madhya Pradesh
Cotton,Hybrid,Uttar Pradesh,Zaid,2003,10.53,9.02,Tons,23748.17,Uttar Pradesh
Wheat,Standard,Madhya Pradesh,Kharif,2006,35.45,30.74,Tons,86723.31,Madhya Pradesh
Maize,Organic,Andhra Pradesh,Zaid,2006,19.72,20.52,Tons,43589.57,Andhra Pradesh
Pulses,High Yield,Maharashtra,Zaid,2007,5.55,4.71,Tons,9404.38,Maharashtra
Soybean,Organic,Uttar Pradesh,Rabi,2002,15.06,14.72,Tons,25243.76,Uttar Pradesh
Pulses,High Yield,Madhya Pradesh,Kharif,2005,6.83,7.24,Tons,15209.23,Madhya Pradesh
Pulses,Standard,Tamil Nadu,Rabi,2002,8.53,8.11,Tons,18518.11,Tamil Nadu
Sugarcane,Hybrid,Tamil Nadu,Kharif,2003,72.39,83.36,Tons,171622.51,Tamil Nadu
Groundnut,High Yield,Uttar Pradesh,Kharif,2002,17.28,18.37,Tons,35673.97,Uttar Pradesh
Oilseeds,High Yield,Uttar Pradesh,Kharif,2007,15.06,15.54,Tons,24972.52,Uttar Pradesh
Maize,High Yield,Uttar Pradesh,Kharif,2011,27.14,24.69,Tons,63760.56,Uttar Pradesh
Groundnut,Hybrid,Maharashtra,Zaid,2004,13.04,14.72,Tons,20091.06,Maharashtra
Oilseeds,High Yield,Gujarat,Rabi,2010,16.24,16.63,Tons,24728.21,Gujarat
Pulses,Hybrid,Haryana,Kharif,2014,9.88,11.83,Tons,15896.54,Haryana
Pulses,Standard,Madhya Pradesh,Zaid,2007,5.56,4.45,Tons,11775.5,Madhya Pradesh
Oilseeds,Hybrid,Karnataka,Rabi,2001,13.53,13.09,Tons,28526.93,Karnataka
Groundnut,High Yield,Gujarat,Kharif,2003,17.47,19.91,Tons,33924.84,Gujarat
Wheat,High Yield,Uttar Pradesh,Zaid,2010,29.83,27.34,Tons,62282.83,Uttar Pradesh
Sugarcane,Hybrid,Haryana,Rabi,2003,85.26,74.35,Tons,212641.77,Haryana
Maize,Organic,Madhya Pradesh,Rabi,2001,23.95,23.32,Tons,39805.25,Madhya Pradesh
Pulses,Organic,Haryana,Rabi,2007,9.5,7.77,Tons,21219.28,Haryana
Pulses,High Yield,Gujarat,Zaid,2007,6.18,6.63,Tons,11446.36,Gujarat
Wheat,Hybrid,Rajasthan,Rabi,2014,31.32,33.12,Tons,71491.28,Rajasthan
Sugarcane,Organic,Karnataka,Kharif,2006,70.88,77.16,Tons,145181.53,Karnataka
Jute,High Yield,Gujarat,Zaid,2005,16.12,18.08,Tons,34114.82,Gujarat
Wheat,High Yield,Rajasthan,Zaid,2013,25.56,28.88,Tons,42114.74,Rajasthan
Jute,Standard,Haryana,Rabi,2005,28.74,24.49,Tons,61250.99,Haryana
